::1 - - [31/Mar/2023:19:03:10 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:19:03:10 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:19:03:10 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5190
::1 - - [31/Mar/2023:19:03:11 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:19:06:17 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1493
::1 - - [31/Mar/2023:19:06:17 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:06:17 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:08:23 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1493
::1 - - [31/Mar/2023:19:08:23 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:08:23 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5186
::1 - - [31/Mar/2023:19:09:35 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1519
::1 - - [31/Mar/2023:19:09:35 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:09:39 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1519
::1 - - [31/Mar/2023:19:09:39 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:19:09:39 +0100] "GET /css/tree.css HTTP/1.1" 200 524
::1 - - [31/Mar/2023:19:09:39 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:19:09:39 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:19:09:39 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:19:09:39 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5186
::1 - - [31/Mar/2023:19:09:40 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:19:10:21 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1519
::1 - - [31/Mar/2023:19:10:22 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:10:27 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1519
::1 - - [31/Mar/2023:19:10:27 +0100] "GET /javascript/navbar.js HTTP/1.1" 200 469
::1 - - [31/Mar/2023:19:10:27 +0100] "GET /css/nav.css HTTP/1.1" 200 1389
::1 - - [31/Mar/2023:19:10:27 +0100] "GET /css/sidebar.css HTTP/1.1" 200 624
::1 - - [31/Mar/2023:19:10:27 +0100] "GET /css/vr.css HTTP/1.1" 200 388
::1 - - [31/Mar/2023:19:10:27 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5186
::1 - - [31/Mar/2023:19:10:27 +0100] "GET /css/tree.css HTTP/1.1" 200 556
::1 - - [31/Mar/2023:19:10:28 +0100] "GET /favicon.ico HTTP/1.1" 404 196
::1 - - [31/Mar/2023:19:11:32 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1519
::1 - - [31/Mar/2023:19:11:32 +0100] "GET /css/tree.css HTTP/1.1" 200 525
::1 - - [31/Mar/2023:19:11:32 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5192
::1 - - [31/Mar/2023:19:11:50 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1519
::1 - - [31/Mar/2023:19:11:50 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:11:50 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:11:53 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1519
::1 - - [31/Mar/2023:19:11:53 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:12:42 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1519
::1 - - [31/Mar/2023:19:12:42 +0100] "GET /css/tree.css HTTP/1.1" 304 -
::1 - - [31/Mar/2023:19:12:42 +0100] "GET /javascript/binarytree.js HTTP/1.1" 200 5310
::1 - - [31/Mar/2023:19:12:45 +0100] "GET /tree-data-structure.php HTTP/1.1" 200 1519
::1 - - [31/Mar/2023:19:12:45 +0100] "GET /javascript/binarytree.js HTTP/1.1" 304 -
